,Timestamp,Source IP,Destination IP,Protocol,Payload
0,22:54:17,142.250.183.74,192.168.0.101,UDP,42629a35807fc520da280f6c37f648e72ea3b625533eb11c68392514e03e4502976c10724ca4fcb23ac085a5d5b0525bfc2fb036757b6a1a93ec9336d245e0e12948ba629f3045f29336ca2fa4ba590c76515f362f03bc70e6b3b48d21f9f86efb871a2f
1,22:54:17,192.168.0.101,142.250.183.74,UDP,4fe69cac8e69ed268571c7b7a8d4c0d35f82909dcd2bb56e02cced7f54628c
2,22:54:17,142.250.183.74,192.168.0.101,UDP,52dd0362f2a4fca15457326adae17f51f669e86933ee07f3
3,22:54:17,142.250.183.74,192.168.0.101,TCP,1703030045d73f76daf3527c36d87abda7fa73b21b6f06b04c37567d107bc573ad72b2f239fc642b710e9e6172dc080e8a3eddd208fc30b4f61e38154328a4d72cf3c463ce60602346d5
4,22:54:17,142.250.183.74,192.168.0.101,TCP,17030300469cfd460acf4d1033da561c7eda350ad930af6891b7b81607c0a1811e62e8b4a0392a65d756aacc60c86c53e4b9b1f487f1a0c3b89eefbc70a6eb8507319975e5101854bee951
5,22:54:17,142.250.183.74,192.168.0.101,TCP,170303001ac1f7ec8c43351e67807751876fb8c3d90778f934f685ea718c9c
6,22:54:17,142.250.183.74,192.168.0.101,TCP,170303002200c3e66477e266e3a922d6245e6e1d56ad6af9d212767b639581339532ede880bab3
7,22:54:17,192.168.0.101,142.250.183.74,TCP,<no payload>
8,22:54:17,192.168.0.101,142.250.183.74,TCP,1703030022ff19c6d8c770539be0be895a81f95ee29a26c909a25a6283d43537cf60e3a8566629
9,22:54:17,142.250.183.74,192.168.0.101,TCP,<no payload>
10,22:54:17,192.168.0.101,142.250.183.74,UDP,4ae69cac8e69ed26859705bd6206ef81959fc30f41b69e50db59cac6fd4769a87eb9a0a3f4ddcf4f254fead2e4466e779e17ce6ed501ae7ccabafc2877386b2997c8aedb9cdb1ac37ca7bc4052fb2d3549f53d1f5e380d04f8727e3a955a4f4ed44309d0
11,22:54:17,142.250.183.74,192.168.0.101,UDP,5db6648d857c6a737ebd835adda2b5f297afd084e05e528419fa3a30
12,22:54:17,192.168.0.101,142.250.183.74,UDP,4ce69cac8e69ed2685e99af098d9bff599276e560e9fe754474b99581371a86e
13,22:54:18,142.250.183.74,192.168.0.101,UDP,48fc64a095ac7ef6deb249f4740a1ed610b2769906fd3b48ef674bdaad71563af9372b4428460f77871f060dd27633c27bb1102e9fa94aef3a9fd8d55d6747e2cb5788e1c9aaf80dc65f2c5590f665a83ca5e72202943abf24c95ebc798c53ae77bede73
